======================================================================
  ToSort Toolkit - Recognised ROM/Emulator File Extensions
  Alphabetical Reference (generated from api.py ROM_EXTS)
======================================================================
  Total: 348 extensions

  Extension        System / Format
  .opd             ZX Opus Discovery
  .orig            Original (TOSEC backup)
  .out             Unix executable (TOSEC)
  .p00             C64 program
  .p6              NEC PC-6001
  .pak             Dragon / CoCo / misc pack
  .pbp             PlayStation Portable
  .pce             PC Engine
  .pdi             Floppy flux image
  .pfdc            PFDC floppy
  .pkg             PS3/PS4 package
  .pl              TOSEC playlist
  .po              Apple II ProDOS
  .pop             Misc 8-bit
  .prg             C64 program
  .pri             Floppy flux image
  .prn             Printer output (TOSEC)
  .psc             ZX Spectrum PROTRACKER
  .psf             PlayStation music rip
  .psf2            PS2 music rip
  .psi             Floppy sector image
  .psid            C64 SID music (old format)
  .pss             Misc 8-bit save state
  .pt1             ZX ProTracker 1
  .pt2             ZX ProTracker 2
  .pt3             ZX ProTracker 3
  .ptp             Paper tape image
  .qd              Quick Disk
  .qdf             Sharp MZ disk
  .rad             Reality AdLib Tracker
  .raw             Raw dump
  .reu             C64 REU image
  .rim             Soviet/Russian micro
  .rk5             Soviet Radio-86RK
  .rom             Generic ROM / MSX
  .rpx             Wii U
  .rsid            C64 SID (RSID format)
  .rsn             SNES music archive
  .run             Memotech MTX / misc
  .rvz             Wii/GC compressed
  .rx1             Soviet micro
  .s               Object file (TOSEC)
  .s3m             ScreamTracker 3
  .s98             NEC PC-98 music
  .sad             SAM Coupé disk
  .sap             Atari 8-bit music / Thomson
  .sat             Sega Saturn
  .sav             Save file
  .sc68            Atari ST SC68 music
  .scd             Sega CD
  .scp             SuperCard Pro flux
  .sd              Misc SD card image
  .sda             SpectraVideo self-extract
  .sdf             SAM Coupé disk format
  .sfc             Super Famicom
  .sfx             SpectraVideo / misc SFX
  .sgb             Super Game Boy
  .sgx             SuperGrafx
  .sid             C64 SID music
  .sis             Misc 8-bit
  .smc             Super Nintendo
  .sms             Sega Master System
  .smu             Misc 8-bit
  .sna             ZX Spectrum snapshot
  .sndh            Atari ST SNDH music
  .sol             Misc 8-bit
  .sp              ZX Spectrum SPECTRA
  .spc             SNES SPC700 music
  .sqt             ZX Spectrum SQ-Tracker
  .srm             SRAM save
  .srn             Misc 8-bit
  .ss              Sega Saturn
  .ss1             Save state slot 1
  .ss2             Save state slot 2
  .ssd             BBC Micro single-sided
  .ssf             Saturn music rip
  .st              Atari ST disk image
  .sta             Save state
  .stc             ZX Spectrum STC tracker
  .stm             ScreamTracker module
  .stp             ZX Spectrum STP tracker
  .stt             Atari ST disk (extended)
  .stx             Atari ST Pasti flux
  .sub             Clone CD subchannel
  .svt             Misc 8-bit
  .szx             ZX Spectrum state
  .t64             C64 tape container
  .t77             Toshiba Pasopia tape
  .t88             NEC PC-88 tape
  .tap             ZX Spectrum / C64 tape
  .tape            Generic tape image
  .tc              Floppy track image
  .td0             Teledisk floppy
  .tfe             TFM tracker
  .tfm             TFM tracker
  .tos             Atari ST TOS image
  .trim            No-Intro trimmed ROM
  .tu6             Soviet micro
  .tzx             ZX Spectrum tape
  .uae             Amiga/UAE disk config
  .udi             ZX UDI disk
  .uef             BBC Micro tape
  .ult             UltraTracker module
  .unf             NES (UNIF)
  .unif            NES (UNIF)
  .usf             N64 music rip
  .v0              Misc 8-bit
  .v64             N64 (V64)
  .vb              Virtual Boy
  .vdk             Dragon 32/64 disk
  .vec             Vectrex
  .velf            VELF homebrew
  .vgm             Video Game Music
  .vgz             VGM compressed
  .vmp             PSP save
  .vms             Dreamcast VMU
  .vpk             Vita package
  .vtp             VTech / misc
  .wad             Wii WAD
  .wav             Audio tape capture
  .wbfs            Wii disc
  .wdr             ZX disk image
  .wmf             Windows Metafile (TOSEC)
  .woz             Apple II flux (Applesauce)
  .wr3             Misc 8-bit
  .ws              WonderSwan
  .wsc             WonderSwan Color
  .wux             Wii U compressed
  .xbe             Original Xbox
  .xci             Nintendo Switch
  .xdf             Extended floppy
  .xex             Xbox 360 / Atari 8-bit
  .xfd             Atari 8-bit disk
  .xiso            Xbox ISO
  .xm              FastTracker II module
  .ym              Atari ST YM chip music
  .z64             N64 (Z64)
  .z80             ZX Spectrum snapshot

----------------------------------------------------------------------
  MUSIC / CHIPTUNE / VGM formats included:
----------------------------------------------------------------------
  .2sf             NDS music rip
  .669             Composer 669 tracker
  .ahx             Amiga AHX tracker
  .ay              ZX Spectrum AY chip music
  .cpc             Amstrad CPC / CPC music
  .dbm             Amiga DigiBooster
  .dmf             Deflemask tracker
  .dsf             Dreamcast music rip
  .far             Farandole tracker
  .fc13            Future Composer 1.3
  .fc14            Future Composer 1.4
  .gbs             Game Boy music rip
  .gsf             GBA music rip
  .gym             Sega Genesis/MD music
  .hes             PC Engine music rip
  .hsc             AdLib HSC music
  .hvl             Amiga HivelyTracker
  .it              Impulse Tracker music
  .ksm             AdLib KSM music
  .kss             MSX/Sega music
  .lds             AdLib LDS music
  .med             Amiga MED/OctaMED
  .mini2sf         NDS music (lib)
  .minidsf         Dreamcast music (lib)
  .minigsf         GBA music (lib)
  .minipsf         PS1 music (lib)
  .minipsf2        PS2 music (lib)
  .minissf         Saturn music (lib)
  .miniusf         N64 music (lib)
  .mod             Amiga ProTracker module
  .mtm             MultiTracker module
  .nsf             NES music rip
  .nsfe            NES music (extended)
  .oct             Amiga OctaMED
  .psc             ZX Spectrum PROTRACKER
  .psf             PlayStation music rip
  .psf2            PS2 music rip
  .psid            C64 SID music (old format)
  .pt1             ZX ProTracker 1
  .pt2             ZX ProTracker 2
  .pt3             ZX ProTracker 3
  .rad             Reality AdLib Tracker
  .rsid            C64 SID (RSID format)
  .rsn             SNES music archive
  .s3m             ScreamTracker 3
  .s98             NEC PC-98 music
  .sc68            Atari ST SC68 music
  .sid             C64 SID music
  .sndh            Atari ST SNDH music
  .spc             SNES SPC700 music
  .sqt             ZX Spectrum SQ-Tracker
  .ssf             Saturn music rip
  .stc             ZX Spectrum STC tracker
  .stm             ScreamTracker module
  .stp             ZX Spectrum STP tracker
  .tfe             TFM tracker
  .tfm             TFM tracker
  .ult             UltraTracker module
  .usf             N64 music rip
  .vgm             Video Game Music
  .vgz             VGM compressed
  .xm              FastTracker II module
  .ym              Atari ST YM chip music

======================================================================
  To add missing extensions, paste them to Claude
  Last updated: generated from current ROM_EXTS in api.py
======================================================================
